11-30 17:06:20 Bk=604 ckN=3:03-0/3 0941ms:1127ms[00-02-1-0] codeN=4:2:6:0-0:0:0:0/12 chkRes=3:OK:OK:OK:Oc:no checkRes=309_H_344_H_496_H_929_H_21_K_604_K_89_G_118_G_274_G_277_G_735_G_783_G_ ck=3897 V=12-0
11-30 16:36:17 Bk=604 ckN=3:03-0/3 0976ms:1127ms[00-02-1-0] codeN=4:2:6:0-0:0:0:0/12 chkRes=3:OK:OK:OK:Oc:no checkRes=309_H_344_H_496_H_929_H_21_K_604_K_89_G_118_G_274_G_277_G_735_G_783_G_ ck=3897 V=12-0
11-30 16:06:17 Bk=604 ckN=3:03-0/3 0950ms:1123ms[00-02-1-0] codeN=4:2:6:0-0:0:0:0/12 chkRes=3:OK:OK:OK:Oc:no checkRes=309_H_344_H_496_H_929_H_21_K_604_K_89_G_118_G_274_G_277_G_735_G_783_G_ ck=3897 V=12-0
11-30 15:36:10 Bk=604 ckN=3:03-0/3 0972ms:1022ms[00-03-0-0] codeN=4:2:0:0-0:0:0:0/6 chkRes=2:OK:OK:No:Og:NA checkRes=309_H_344_H_496_H_929_H_21_K_604_K_ ck=3897 V=6-0
11-30 15:06:10 Bk=604 ckN=3:03-0/3 1014ms:1077ms[00-03-0-0] codeN=4:2:0:0-0:0:0:0/6 chkRes=2:OK:OK:Og:Og:no checkRes=309_H_344_H_496_H_929_H_21_K_604_K_ ck=3897 V=6-0
11-30 14:36:12 Bk=604 ckN=3:03-0/3 1089ms:1120ms[00-02-1-0] codeN=4:2:0:0-0:0:0:0/6 chkRes=2:OK:OK:Og:Og:no checkRes=309_H_344_H_496_H_929_H_21_K_604_K_ ck=0ac0 V=6-0
11-30 14:06:10 Bk=604 ckN=3:03-0/3 0998ms:1035ms[00-03-0-0] codeN=4:2:0:0-0:0:0:0/6 chkRes=2:OK:OK:Og:Og:no checkRes=309_H_344_H_496_H_929_H_21_K_604_K_ ck=3897 V=6-0
11-30 13:36:10 Bk=604 ckN=3:03-0/3 0974ms:1055ms[00-03-0-0] codeN=4:2:0:0-0:0:0:0/6 chkRes=2:OK:OK:Og:Og:no checkRes=309_H_344_H_496_H_929_H_21_K_604_K_ ck=3897 V=6-0
11-30 13:06:10 Bk=604 ckN=3:03-0/3 1052ms:1074ms[00-03-0-0] codeN=4:2:0:0-0:0:0:0/6 chkRes=2:OK:OK:Og:Og:no checkRes=309_H_344_H_496_H_929_H_21_K_604_K_ ck=0a6a V=6-0
11-30 12:36:11 Bk=604 ckN=3:03-0/3 1123ms:1142ms[00-02-1-0] codeN=4:2:0:0-0:0:0:0/6 chkRes=2:OK:OK:Og:Og:no checkRes=309_H_344_H_496_H_929_H_21_K_604_K_ ck=0a6a V=6-0
